,unitid,year,opeid.x,opeid6,fips.x.x,years_since_entering_repay,cohort_year.x,repay_rate,repay_rate_lowincome,repay_rate_midincome,repay_rate_highincome,repay_rate_dependent,repay_rate_independent,repay_rate_pell,repay_rate_nopell,repay_rate_female,repay_rate_male,repay_rate_firstgen,repay_rate_notfirstgen,repay_count,repay_count_lowincome,repay_count_midincome,repay_count_highincome,repay_count_dependent,repay_count_independent,repay_count_pell,repay_count_nopell,repay_count_female,repay_count_male,repay_count_firstgen,repay_count_notfirstgen,fips.y.x,cohort_year.y,race,sex,completion_rate_150pct,fips.x.y,est_fte,fips.y.y,type_of_aid,number_of_students,percent_of_students,average_amount,fips,opeid.y,inst_name_fsa,loan_type,loan_recipients_unitid,num_loans_disbursed_unitid,num_loans_originated_unitid,value_loans_originated_unitid,value_loan_disbursements_unitid,loan_recipients_opeid,num_loans_disbursed_opeid,num_loans_originated_opeid,value_loans_originated_opeid,value_loan_disbursements_opeid,allocation_flag,combined_flag,other_assoc_opeids,hbcu
29,100830,2010,831000,8310,1,3,2007,0.529625,0.447368,0.630832,0.710983,0.544732,0.506173,0.468895,0.642981,0.521164,0.548077,0.518732,0.5375,1654,988,493,173,1006,648,1077,577,1134,520,694,960,1,2005,1,99,0.413,1,4073,1,1,479,0.63,NA,1,831000,AUBURN UNIVERSITY MONTGOMERY,1,2726,5628,3077,9612241,9609390,2726,5628,3077,9612241,9609390,0,0,,No
31,100830,2012,831000,8310,1,5,2007,0.54738,0.465993,0.640684,0.766667,0.573407,0.507736,0.48692,0.665025,0.531727,0.582878,0.530997,0.558935,1794,1088,526,180,1083,711,1185,609,1245,549,742,1052,1,2007,1,99,0.302,1,3571,1,1,534,0.9,NA,1,831000,AUBURN UNIVERSITY MONTGOMERY,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,No
33,100858,2010,100900,1009,1,3,2007,0.790281,0.682218,0.802172,0.865777,0.796258,0.742389,0.703827,0.866504,0.786903,0.793451,0.745816,0.804979,3848,1136,1289,1423,3421,427,1803,2045,1863,1985,956,2892,1,2005,1,99,0.697,1,19659,1,1,3247,0.78,NA,1,100900,AUBURN UNIVERSITY,1,6114,11449,6733,25403914,25390550,6114,11449,6733,25403914,25390550,0,0,,No
35,100858,2012,100900,1009,1,5,2007,0.811785,0.712766,0.828967,0.876241,0.818857,0.75693,0.733676,0.882054,0.81134,0.812204,0.781587,0.821776,4107,1222,1374,1511,3638,469,1945,2162,1993,2114,1021,3086,1,2007,1,99,0.711,1,19635,1,1,2881,0.76,NA,1,100900,AUBURN UNIVERSITY,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,No
37,100937,2010,101200,1012,1,3,2007,0.744493,0.612245,0.759494,0.79798,-3,-3,0.651685,0.804348,0.693333,0.844156,-3,-3,227,49,79,99,217,10,89,138,150,77,45,182,1,2005,1,99,0.637,1,1832,1,1,369,1,NA,1,101200,BIRMINGHAM SOUTHERN COLLEGE,1,536,1030,547,2273640,2269678,536,1030,547,2273640,2269678,0,0,,No
39,100937,2012,101200,1012,1,5,2007,0.797619,0.648148,0.790123,0.871795,-3,-3,0.705263,0.853503,0.75625,0.869565,-3,-3,252,54,81,117,240,12,95,157,160,92,53,199,1,2007,1,99,0.644,1,1331,1,1,319,0.98,NA,1,101200,BIRMINGHAM-SOUTHERN COLLEGE,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,No
41,101028,2012,1218200,12182,1,5,2007,0.351297,0.283465,-3,-3,0.385057,0.333333,0.300733,0.576087,0.319767,0.420382,0.339552,0.364807,501,381,105,15,174,327,409,92,344,157,268,233,1,2010,1,99,0.204,1,1431,1,1,341,0.94,NA,1,1218200,CHATTAHOOCHEE VALLEY COMMUNITY COLLEGE,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,No
42,101143,2010,101500,1015,1,3,2007,0.559172,0.454545,-3,-3,0.625668,0.476821,0.469767,0.715447,0.478528,0.634286,0.496933,0.617143,338,187,124,27,187,151,215,123,163,175,163,175,1,2008,1,99,0.468,1,2779,1,1,452,0.87,NA,1,101500,ENTERPRISE STATE COMMUNITY COLLEGE,1,656,1302,724,2030586,1935638,656,1302,724,2030586,1935638,0,0,,No
43,101143,2012,101500,1015,1,5,2007,0.60452,0.494898,-3,-3,0.665,0.525974,0.528384,0.744,0.529762,0.672043,0.552941,0.652174,354,196,130,28,200,154,229,125,168,186,170,184,1,2010,1,99,0.134,1,2101,1,1,266,0.91,NA,1,101500,ENTERPRISE STATE COMMUNITY COLLEGE,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,No
44,101161,2010,106000,1060,1,3,2007,0.475238,0.361868,0.555831,0.669173,0.480061,0.467337,0.38872,0.619289,0.468208,0.488827,0.455268,0.493601,1050,514,403,133,652,398,656,394,692,358,503,547,1,2008,1,99,0.14,1,4032,1,1,892,0.86,NA,1,106000,JAMES H. FAULKNER STATE COMMUNITY COLLEGE,1,1371,2472,1487,3781831,3425693,1371,2472,1487,3781831,3425693,0,0,,No
