,unitid,year,opeid.x,opeid6,fips.x.x,years_since_entering_repay,cohort_year.x,repay_rate,repay_rate_lowincome,repay_rate_midincome,repay_rate_highincome,repay_rate_dependent,repay_rate_independent,repay_rate_pell,repay_rate_nopell,repay_rate_female,repay_rate_male,repay_rate_firstgen,repay_rate_notfirstgen,repay_count,repay_count_lowincome,repay_count_midincome,repay_count_highincome,repay_count_dependent,repay_count_independent,repay_count_pell,repay_count_nopell,repay_count_female,repay_count_male,repay_count_firstgen,repay_count_notfirstgen,fips.y.x,cohort_year.y,race,sex,completion_rate_150pct,fips.x.y,est_fte,fips.y.y,type_of_aid,number_of_students,percent_of_students,average_amount,fips,opeid.y,inst_name_fsa,loan_type,loan_recipients_unitid,num_loans_disbursed_unitid,num_loans_originated_unitid,value_loans_originated_unitid,value_loan_disbursements_unitid,loan_recipients_opeid,num_loans_disbursed_opeid,num_loans_originated_opeid,value_loans_originated_opeid,value_loan_disbursements_opeid,allocation_flag,combined_flag,other_assoc_opeids,hbcu
119,102234,2010,104100,1041,1,3,2007,0.645995,0.475862,0.728571,0.77451,0.733108,0.362637,0.540107,0.745,0.632231,0.668966,0.526786,0.694545,387,145,140,102,296,91,187,200,242,145,112,275,1,2005,1,99,0.645,1,1402,1,1,397,1,NA,1,104100,SPRING HILL COLLEGE,1,810,1594,861,3301587,3289329,810,1594,861,3301587,3289329,0,0,,No
121,102234,2012,104100,1041,1,5,2007,0.657568,0.432258,0.755396,0.853211,0.758958,0.333333,0.522613,0.789216,0.624506,0.713333,0.504202,0.721831,403,155,139,109,307,96,199,204,253,150,119,284,1,2007,1,99,0.588,1,1225,1,1,295,1,NA,1,104100,SPRING HILL COLLEGE,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,No
128,102270,2010,104400,1044,1,3,2007,0.307071,0.29052,0.323077,0.394737,0.302108,0.338235,0.307317,0.305882,0.343891,0.277372,0.335,0.288136,495,327,130,38,427,68,410,85,221,274,200,295,1,2005,1,99,0.375,1,1201,1,1,288,0.97,NA,1,104400,STILLMAN COLLEGE,1,928,1866,928,3706632,3685506,928,1866,928,3706632,3685506,0,0,,Yes
130,102270,2012,104400,1044,1,5,2007,0.351648,0.34153,0.35,0.45,0.347458,0.378378,0.349558,0.361702,0.395161,0.315436,0.367713,0.340557,546,366,140,40,472,74,452,94,248,298,223,323,1,2007,1,99,0.4,1,940,1,1,270,1,NA,1,104400,STILLMAN COLLEGE,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,Yes
132,102298,2010,104600,1046,1,3,2007,0.228261,0.215827,-3,-3,0.207792,0.333333,-3,-3,0.219298,0.242857,0.169014,0.265487,184,139,33,12,154,30,161,23,114,70,71,113,1,2005,1,99,NA,1,553,1,1,177,0.84,NA,1,104600,TALLADEGA COLLEGE,1,567,1047,570,2300862,2282112,567,1047,570,2300862,2282112,0,0,,Yes
134,102298,2012,104600,1046,1,5,2007,0.284314,0.272109,-3,-3,0.270115,0.366667,-3,-3,0.293651,0.269231,0.2125,0.330645,204,147,46,11,174,30,177,27,126,78,80,124,1,2007,1,99,NA,1,542,1,1,416,0.98,NA,1,104600,TALLADEGA COLLEGE,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,Yes
142,102377,2010,105000,1050,1,3,2007,0.480263,0.459245,0.47931,0.571429,0.479469,0.488095,0.463855,0.524194,0.527083,0.428241,0.490842,0.475743,912,503,290,119,828,84,664,248,480,432,273,639,1,2005,1,99,0,1,2525,1,1,689,0.98,NA,1,105000,TUSKEGEE UNIVERSITY,1,1865,3909,2068,7872473,7732171,1865,3909,2068,7872473,7732171,0,0,,Yes
144,102377,2012,105000,1050,1,5,2007,0.518411,0.480565,0.539157,0.626866,0.52452,0.457447,0.49734,0.575,0.564831,0.462687,0.515924,0.519499,1032,566,332,134,938,94,752,280,563,469,314,718,1,2007,1,99,0,1,2606,1,1,628,0.96,NA,1,105000,TUSKEGEE UNIVERSITY,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,Yes
151,131283,2010,143700,1437,11,3,2007,0.856568,0.776699,0.817259,0.892377,0.881129,0.630137,0.771605,0.880137,0.884527,0.817891,0.763158,0.873418,746,103,197,446,673,73,162,584,433,313,114,632,11,2005,1,99,0.731,11,3659,11,1,933,0.94,NA,11,143700,CATHOLIC UNIVERSITY OF AMERICA (THE),1,1729,3280,1779,7240798,7234278,1729,3280,1779,7240798,7234278,0,0,,No
153,131283,2012,143700,1437,11,5,2007,0.876084,0.752066,0.84434,0.921941,0.904564,0.630952,0.767196,0.909385,0.89172,0.854167,0.80315,0.889706,807,121,212,474,723,84,189,618,471,336,127,680,11,2007,1,99,0.698,11,3757,11,1,839,0.95,NA,11,143700,CATHOLIC UNIVERSITY OF AMERICA (THE),1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,No
155,131308,2010,1195000,11950,11,3,2007,0.755725,0.696078,0.747253,0.855072,0.739583,0.8,0.721311,0.785714,0.764286,0.745902,0.703704,0.779006,262,102,91,69,192,70,122,140,140,122,81,181,11,2005,1,99,0.517,11,361,11,1,54,1,NA,11,1195000,CORCORAN COLLEGE OF ART AND DESIGN,1,233,436,233,999070,985070,233,436,233,999070,985070,0,0,,No
157,131308,2012,1195000,11950,11,5,2007,0.717857,0.647059,0.684211,0.843373,0.694836,0.791045,0.635659,0.788079,0.74,0.692308,0.621951,0.757576,280,102,95,83,213,67,129,151,150,130,82,198,11,2007,1,99,0.545,11,289,11,1,38,0.81,NA,11,1195000,CORCORAN COLLEGE OF ART AND DESIGN,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,No
164,131450,2010,144300,1443,11,3,2007,0.61512,0.54,0.723404,0.638298,0.642857,0.54321,0.569948,0.704082,0.655405,0.573427,0.573913,0.642045,291,150,94,47,210,81,193,98,148,143,115,176,11,2005,1,99,0.5,11,1035,11,1,186,0.94,NA,11,144300,GALLAUDET UNIVERSITY,1,333,609,356,1301943,1300193,333,609,356,1301943,1300193,0,0,,No
166,131450,2012,144300,1443,11,5,2007,0.649007,0.607843,0.67,0.734694,0.663636,0.609756,0.6,0.745098,0.681529,0.613793,0.625,0.663158,302,153,100,49,220,82,200,102,157,145,112,190,11,2007,1,99,0.553,11,1062,11,1,187,0.88,NA,11,144300,GALLAUDET UNIVERSITY,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,No
168,131469,2010,144400,1444,11,3,2007,0.865681,0.784314,0.862888,0.908206,0.873832,0.768,0.812375,0.889483,0.866944,0.863843,0.800905,0.875892,1623,357,547,719,1498,125,501,1122,962,661,221,1402,11,2005,1,99,0.815,11,10153,11,1,1747,0.73,NA,11,144400,GEORGE WASHINGTON UNIVERSITY,1,3438,6527,3487,15271488,15235736,3438,6527,3487,15271488,15235736,0,0,,No
170,131469,2012,144400,1444,11,5,2007,0.896706,0.8175,0.895349,0.937896,0.907664,0.761194,0.836918,0.923763,0.903286,0.887052,0.821138,0.908738,1791,400,602,789,1657,134,558,1233,1065,726,246,1545,11,2007,1,99,0.82,11,10304,11,1,1613,0.68,NA,11,144400,GEORGE WASHINGTON UNIVERSITY,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,No
172,131496,2010,144500,1445,11,3,2007,0.897087,0.831276,0.896774,0.930818,0.916574,0.763359,0.875421,0.905866,0.900855,0.892135,0.898438,0.896896,1030,243,310,477,899,131,297,733,585,445,128,902,11,2005,1,99,0.952,11,7411,11,1,909,0.58,NA,11,144500,GEORGETOWN UNIVERSITY,1,2264,4516,2427,9846376,9823498,2264,4516,2427,9846376,9823498,0,0,,No
174,131496,2012,144500,1445,11,5,2007,0.914912,0.831502,0.917847,0.953654,0.935391,0.773333,0.891892,0.923888,0.916042,0.913462,0.909722,0.915628,1187,273,353,561,1037,150,333,854,667,520,144,1043,11,2007,1,99,0.943,11,7346,11,1,829,0.53,NA,11,144500,GEORGETOWN UNIVERSITY,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,No
176,131520,2010,144800,1448,11,3,2007,0.46899,0.438788,0.438525,0.588832,0.476951,0.429012,0.424066,0.541555,0.477029,0.452713,0.40691,0.491608,1951,825,732,394,1627,324,1205,746,1306,645,521,1430,11,2005,1,99,0.667,11,6959,11,1,1319,0.9,NA,11,144800,HOWARD UNIVERSITY,1,4921,9494,5006,21456050,20890762,4921,9494,5006,21456050,20890762,0,0,,Yes
178,131520,2012,144800,1448,11,5,2007,0.494107,0.456476,0.495828,0.574118,0.495055,0.489637,0.449595,0.565525,0.504043,0.473684,0.448161,0.511194,2206,942,839,425,1820,386,1359,847,1484,722,598,1608,11,2007,1,99,NA,11,6446,11,1,1234,0.93,NA,11,144800,HOWARD UNIVERSITY,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,Yes
180,131803,2010,145900,1459,11,3,2007,0.387805,0.297756,0.461109,0.621601,0.396264,0.387091,0.288003,0.547918,0.362314,0.445696,0.386815,0.388863,13071,7130,4654,1287,1017,12054,8052,5019,9075,3996,6750,6321,11,2005,1,99,0,11,1127,11,1,11,0.65,NA,11,145900,STRAYER UNIVERSITY,1,37376,101854,45015,140612432,139901056,37376,101854,45015,140612425,139901060,0,0,,No
182,131803,2010,145900,1459,11,3,2007,0.387805,0.297756,0.461109,0.621601,0.396264,0.387091,0.288003,0.547918,0.362314,0.445696,0.386815,0.388863,13071,7130,4654,1287,1017,12054,8052,5019,9075,3996,6750,6321,11,2005,1,99,NA,11,1127,11,1,11,0.65,NA,11,145900,STRAYER UNIVERSITY,1,37376,101854,45015,140612432,139901056,37376,101854,45015,140612425,139901060,0,0,,No
183,131830,2010,2132800,21328,11,3,2007,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,13,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,11,2008,1,99,0.667,11,48,11,1,3,0.75,NA,11,2132800,NATIONAL CONSERVATORY OF DRAMATIC ARTS,1,16,36,19,65122,64647,16,36,19,65122,64647,0,0,,No
184,131830,2012,2132800,21328,11,5,2007,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,15,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,11,2010,1,99,1,11,60,11,1,3,0.5,NA,11,2132800,NATIONAL CONSERVATORY OF DRAMATIC ARTS,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,No
185,131876,2010,146000,1460,11,3,2007,0.459677,0.391304,0.508671,0.680851,0.5,0.40991,0.416667,0.573529,-3,-3,0.465909,0.452586,496,276,173,47,274,222,360,136,485,11,264,232,11,2005,1,99,0.429,11,1336,11,1,267,0.99,NA,11,146000,TRINITY COLLEGE,1,1378,2679,1567,5346790,5201954,1378,2679,1567,5346790,5201954,0,0,,No
187,131876,2012,146000,1460,11,5,2007,0.499055,0.454849,0.539326,0.615385,0.518771,0.474576,0.459103,0.6,-3,-3,0.505263,0.491803,529,299,178,52,293,236,379,150,516,13,285,244,11,2007,1,99,1,11,1492,11,1,250,0.99,NA,11,146000,TRINITY COLLEGE,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,No
189,135364,2010,3100900,31009,13,3,2007,0.4,-3,0.431818,-3,-3,-3,0.34,0.485714,0.454545,0.380952,0.387755,0.416667,85,-3,44,-3,-3,-3,50,35,22,63,49,36,13,2005,1,99,0,13,310,13,1,5,0.71,NA,13,3100900,LUTHER RICE UNIVERSITY,1,213,591,276,1042192,1002365,213,591,276,1042192,1002365,0,0,,No
191,135364,2012,3100900,31009,13,5,2007,0.5,-3,0.565217,-3,-3,-3,0.423077,0.595238,0.44,0.521739,0.518519,0.475,94,37,46,11,10,84,52,42,25,69,54,40,13,2007,1,99,0,13,351,13,1,2,0.67,NA,13,3100900,LUTHER RICE UNIVERSITY,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,No
193,138558,2010,154100,1541,13,3,2007,0.507937,0.410049,0.570115,0.737931,0.529925,0.463291,0.443478,0.640306,0.470414,0.556622,0.475,0.541039,1197,617,435,145,802,395,805,392,676,521,600,597,13,2005,1,99,0.219,13,2733,13,1,1007,0.9,NA,13,154100,ABRAHAM BALDWIN AGRICULTURAL COLLEGE,1,1411,3044,1660,4545166,4321738,1411,3044,1660,4545166,4321738,0,0,,No
195,138558,2012,154100,1541,13,5,2007,0.52085,0.443598,0.555799,0.740506,0.545024,0.473068,0.463869,0.639225,0.480822,0.574861,0.499213,0.542453,1271,656,457,158,844,427,858,413,730,541,635,636,13,2007,1,99,0.189,13,2564,13,1,721,0.84,NA,13,154100,ABRAHAM BALDWIN AGRICULTURAL COLLEGE,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,No
197,138600,2010,154200,1542,13,3,2007,0.746835,0.727273,0.729167,0.796875,0.756614,0.708333,0.721311,0.773913,-3,-3,0.795918,0.734043,237,77,96,64,189,48,122,115,-3,-3,49,188,13,2005,1,99,0.607,13,920,13,1,268,1,NA,13,154200,AGNES SCOTT COLLEGE,1,490,964,503,2125915,2123032,490,964,503,2125915,2123032,0,0,,No
199,138600,2012,154200,1542,13,5,2007,0.763838,0.709677,0.805556,0.771429,0.788732,0.672414,0.76087,0.766917,-3,-3,0.807018,0.752336,271,93,108,70,213,58,138,133,-3,-3,57,214,13,2007,1,99,0.685,13,892,13,1,232,1,NA,13,154200,AGNES SCOTT COLLEGE,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,No
201,138655,2010,2284300,22843,13,3,2007,0.339233,0.322695,-3,-3,0.295455,0.345763,-3,-3,0.373239,0.314721,0.365385,0.29771,339,282,-3,-3,44,295,317,22,142,197,208,131,13,2008,1,99,0.576,13,517,13,1,115,0.88,NA,13,2284300,INTERACTIVE COLLEGE OF TECHNOLOGY,1,377,841,465,1226519,1089700,377,841,465,1226519,1089700,0,0,,No
202,138655,2012,2284300,22843,13,5,2007,0.332432,0.320261,-3,-3,0.292683,0.337386,-3,-3,0.352941,0.317972,0.356828,0.293706,370,306,-3,-3,41,329,347,23,153,217,227,143,13,2010,1,99,0.65,13,307,13,1,101,0.92,NA,13,2284300,INTERACTIVE COLLEGE OF TECHNOLOGY,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,No
203,138682,2010,560100,5601,13,3,2007,0.341463,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,41,-3,-3,-3,11,30,-3,-3,28,13,16,25,13,2008,1,99,0.463,13,4733,13,1,550,0.99,NA,13,560100,ALBANY TECHNICAL COLLEGE,1,3490,12022,5167,11022841,10999157,3490,12022,5167,11022841,10999157,0,0,,No
204,138682,2012,560100,5601,13,5,2007,0.282609,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,46,-3,-3,-3,12,34,-3,-3,32,14,16,30,13,2010,1,99,0.577,13,3707,13,1,377,0.99,NA,13,560100,ALBANY TECHNICAL COLLEGE,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,No
205,138691,2010,154300,1543,13,3,2007,0.356354,0.303078,0.463592,0.534351,0.35124,0.359779,0.30479,0.520833,0.353989,0.364532,0.372571,0.341176,1810,1267,412,131,726,1084,1378,432,1404,406,875,935,13,2008,1,99,0.201,13,4736,13,1,902,0.87,NA,13,154300,DARTON STATE COLLEGE,1,2770,5970,3379,8385942,7692669,2770,5970,3379,8385942,7692669,0,0,,No
206,138691,2012,154300,1543,13,5,2007,0.388519,0.335048,0.484581,0.602941,0.396725,0.382887,0.34221,0.54343,0.382756,0.409524,0.386994,0.389931,1951,1361,454,136,794,1157,1502,449,1531,420,938,1013,13,2010,1,99,0.233,13,5000,13,1,935,0.91,NA,13,154300,DARTON STATE COLLEGE,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,No
207,138716,2010,154400,1544,13,3,2007,0.315466,0.284327,0.364217,0.384615,0.313487,0.320635,0.295652,0.399083,0.342067,0.274945,0.281633,0.341049,1138,721,313,104,823,315,920,218,687,451,490,648,13,2005,1,99,0.333,13,4129,13,1,869,0.98,NA,13,154400,ALBANY STATE UNIVERSITY,1,3649,8209,4891,14213250,14140444,3649,8209,4891,14213250,14140444,0,0,,Yes
209,138716,2012,154400,1544,13,5,2007,0.324885,0.292419,0.365439,0.432203,0.329004,0.314815,0.298578,0.437247,0.33967,0.302144,0.29636,0.347586,1302,831,353,118,924,378,1055,247,789,513,577,725,13,2007,1,99,0.556,13,3331,13,1,490,0.99,NA,13,154400,ALBANY STATE UNIVERSITY,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,Yes
211,138761,2010,154500,1545,13,3,2007,0.451754,0.350877,0.486486,0.675,-3,-3,0.367742,0.630137,0.44,0.460938,0.380435,0.5,228,114,74,40,213,15,155,73,100,128,92,136,13,2008,1,99,0.227,13,263,13,1,147,0.95,NA,13,154500,ANDREW COLLEGE,1,200,370,202,684875,624517,200,370,202,684875,624517,0,0,,No
212,138761,2012,154500,1545,13,5,2007,0.482609,0.347826,0.56338,0.704545,-3,-3,0.383117,0.684211,0.457143,0.504,0.373626,0.553957,230,115,71,44,215,15,154,76,105,125,91,139,13,2010,1,99,0.259,13,283,13,1,174,1,NA,13,154500,ANDREW COLLEGE,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,No
225,138840,2012,854300,8543,13,5,2007,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,13,2010,1,99,0.389,13,4217,13,1,392,0.97,NA,13,854300,ATLANTA TECHNICAL COLLEGE,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,No
232,138901,2010,1216500,12165,13,3,2007,0.298469,0.281746,-3,-3,0.256039,0.345946,0.285199,0.330435,0.323887,0.255172,0.275449,0.315556,392,252,123,17,207,185,277,115,247,145,167,225,13,2008,1,99,0,13,2746,13,1,431,0.91,NA,13,1216500,ATLANTA METROPOLITAN  STATE COLLEGE,1,1471,2967,1702,4617067,4412056,1471,2967,1702,4617067,4412056,0,0,,No
233,138901,2012,1216500,12165,13,5,2007,0.321016,0.338028,-3,-3,0.271111,0.375,0.305732,0.361345,0.35461,0.258278,0.308511,0.330612,433,284,128,21,225,208,314,119,282,151,188,245,13,2007,1,99,0,13,2437,13,1,333,0.86,NA,13,1216500,ATLANTA METROPOLITAN  STATE COLLEGE,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,No
235,138947,2010,155900,1559,13,3,2007,0.395745,0.364316,0.421851,0.438596,0.40625,0.298913,0.385066,0.424125,0.423166,0.335043,0.38245,0.402038,1880,936,659,285,1696,184,1366,514,1295,585,604,1276,13,2005,1,99,0.333,13,3207,13,1,814,0.97,NA,13,155900,CLARK ATLANTA UNIVERSITY,1,3009,5768,3190,12736647,12423000,3009,5768,3190,12736647,12423000,0,0,,Yes
237,138947,2012,155900,1559,13,5,2007,0.442177,0.428852,0.441217,0.487342,0.449189,0.379808,0.429144,0.476868,0.474719,0.369085,0.434716,0.445629,2058,1019,723,316,1850,208,1496,562,1424,634,651,1407,13,2007,1,99,0,13,2631,13,1,610,0.98,NA,13,155900,CLARK ATLANTA UNIVERSITY,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,Yes
242,139010,2010,1107400,11074,13,3,2007,0.337313,0.297872,-3,-3,0.453488,0.297189,0.305921,0.645161,0.340824,0.323529,0.36019,0.298387,335,282,-3,-3,86,249,304,31,267,68,211,124,13,2008,1,99,0.164,13,3375,13,1,536,0.95,NA,13,1107400,BAINBRIDGE COLLEGE,1,2466,4980,2878,7678461,6919724,2466,4980,2878,7678461,6919724,0,0,,No
243,139010,2012,1107400,11074,13,5,2007,0.328877,0.300319,-3,-3,0.45098,0.283088,0.307018,0.5625,0.336634,0.295775,0.359307,0.27972,374,313,-3,-3,102,272,342,32,303,71,231,143,13,2010,1,99,0.088,13,2308,13,1,335,0.97,NA,13,1107400,BAINBRIDGE STATE COLLEGE,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,No
250,139144,2010,155400,1554,13,3,2007,0.850917,0.785714,0.877005,0.860927,-3,-3,0.808511,0.883065,0.862191,0.830065,0.831933,0.858044,436,98,187,151,420,16,188,248,283,153,119,317,13,2005,1,99,0.588,13,1910,13,1,653,1,NA,13,155400,BERRY COLLEGE,1,840,1585,875,3324775,3290523,840,1585,875,3324775,3290523,0,0,,No
252,139144,2012,155400,1554,13,5,2007,0.885529,0.841584,0.9,0.895062,-3,-3,0.872449,0.895131,0.883721,0.888889,0.885246,0.88563,463,101,200,162,447,16,196,267,301,162,122,341,13,2007,1,99,0.588,13,2025,13,1,618,1,NA,13,155400,BERRY COLLEGE,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,No
270,139214,2010,2060900,20609,13,3,2007,0.559006,0.468085,-3,-3,-3,-3,0.428571,0.728571,-3,-3,0.541667,0.573034,161,94,46,21,11,150,91,70,-3,-3,72,89,13,2008,1,99,0.571,13,236,13,1,10,1,NA,13,2060900,BROWN COLLEGE OF COURT REPORTING,1,291,918,366,1144077,1065908,291,918,366,1144077,1065908,0,0,,No
271,139214,2012,2060900,20609,13,5,2007,0.590361,0.521277,-3,-3,-3,-3,0.478261,0.72973,-3,-3,0.586667,0.593407,166,94,50,22,11,155,92,74,-3,-3,75,91,13,2010,1,99,0.25,13,186,13,1,3,1,NA,13,2060900,BROWN COLLEGE OF COURT REPORTING,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,No
272,139250,2010,155800,1558,13,3,2007,0.544815,0.466472,0.62963,0.75,0.583756,0.524194,0.485294,0.695652,0.523179,0.62931,0.5,0.594796,569,343,162,64,197,372,408,161,453,116,300,269,13,2005,1,99,0.143,13,2759,13,1,558,0.89,NA,13,155800,COLLEGE OF COASTAL GEORGIA,1,1357,2621,1507,4908473,4546754,1357,2621,1507,4908473,4546754,0,0,,No
274,139250,2012,155800,1558,13,5,2007,0.561667,0.493151,0.627907,0.777778,0.593137,0.545455,0.505747,0.709091,0.550725,0.606838,0.5,0.629371,600,365,172,63,204,396,435,165,483,117,314,286,13,2007,1,99,0.178,13,2447,13,1,476,0.9,NA,13,155800,COLLEGE OF COASTAL GEORGIA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,No
276,139278,2012,1048700,10487,13,5,2007,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,13,2010,1,99,0.177,13,4768,13,1,484,0.96,NA,13,1048700,WEST GEORGIA TECHNICAL COLLEGE,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,No
289,139393,2010,348400,3484,13,3,2007,0.815041,0.680851,-3,-3,0.886598,0.711443,0.744589,0.877395,0.810169,0.822335,0.779412,0.828652,492,141,253,98,291,201,231,261,295,197,136,356,13,2005,1,99,0.531,13,1109,13,1,268,1,NA,13,348400,COVENANT COLLEGE,1,531,987,541,2109931,2102333,531,987,541,2109931,2102333,0,0,,No
291,139393,2012,348400,3484,13,5,2007,0.863727,0.748201,-3,-3,0.923588,0.772727,0.797357,0.919118,0.866221,0.86,0.826087,0.878116,499,139,254,106,301,198,227,272,299,200,138,361,13,2007,1,99,0.605,13,1069,13,1,268,1,NA,13,348400,COVENANT COLLEGE,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,No
305,139621,2010,1099700,10997,13,3,2007,0.363885,0.270531,0.440529,0.6,0.390152,0.295567,0.282869,0.541485,0.349515,0.382445,0.325269,0.4039,731,414,227,90,528,203,502,229,412,319,372,359,13,2008,1,99,0.085,13,2540,13,1,965,0.9,NA,13,1099700,EAST GEORGIA STATE COLLEGE,1,2017,3613,2163,6242153,5975124,2017,3613,2163,6242153,5975124,0,0,,No
306,139621,2012,1099700,10997,13,5,2007,0.421446,0.32967,0.509804,0.630435,0.44464,0.364807,0.348135,0.594142,0.404814,0.443478,0.383693,0.462338,802,455,255,92,569,233,563,239,457,345,417,385,13,2007,1,99,0.108,13,2345,13,1,1090,1,NA,13,1099700,EAST GEORGIA STATE COLLEGE,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,No
308,139630,2010,156300,1563,13,3,2007,0.626812,0.513274,0.692308,0.73913,0.663594,0.491525,0.594737,0.697674,0.640288,0.613139,0.634921,0.62,276,113,117,46,217,59,190,86,139,137,126,150,13,2005,1,99,0.433,13,700,13,1,192,0.99,NA,13,156300,EMMANUEL COLLEGE,1,534,976,575,2034850,2025976,534,976,575,2034850,2025976,0,0,,No
310,139630,2012,156300,1563,13,5,2007,0.632107,0.5,0.717742,0.765957,0.666667,0.5,0.586538,0.736264,0.642384,0.621622,0.595745,0.664557,299,128,124,47,237,62,208,91,151,148,141,158,13,2007,1,99,0.462,13,748,13,1,191,1,NA,13,156300,EMMANUEL COLLEGE,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,No
318,139700,2010,950700,9507,13,3,2007,0.52286,0.443548,0.610778,0.52381,0.528395,0.517857,0.465263,0.595238,0.521739,0.52549,0.525547,0.520362,853,372,334,147,405,448,475,378,598,255,411,442,13,2008,1,99,0.071,13,4093,13,1,802,0.71,NA,13,950700,GEORGIA HIGHLANDS COLLEGE,1,1770,3650,1988,5305419,4982882,1770,3650,1988,5305419,4982882,0,0,,No
319,139700,2012,950700,9507,13,5,2007,0.531353,0.451531,0.605556,0.56051,0.549884,0.514644,0.454012,0.630653,0.539906,0.511111,0.531915,0.530864,909,392,360,157,431,478,511,398,639,270,423,486,13,2010,1,99,0.084,13,4071,13,1,764,0.83,NA,13,950700,GEORGIA HIGHLANDS COLLEGE,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,No
326,139755,2010,156900,1569,13,3,2007,0.8878,0.862745,0.878745,0.910843,0.892024,0.848485,0.867416,0.903562,0.890385,0.886917,0.863014,0.893198,2041,510,701,830,1843,198,890,1151,520,1521,365,1676,13,2005,1,99,0.795,13,13714,13,1,2216,0.82,NA,13,156900,GEORGIA INSTITUTE OF TECHNOLOGY,1,3608,7183,4689,15442966,15417161,3608,7183,4689,15442966,15417161,0,0,,No
328,139755,2012,156900,1569,13,5,2007,0.891314,0.854054,0.88498,0.919337,0.895582,0.850242,0.869247,0.908286,0.899461,0.888551,0.867684,0.896456,2199,555,739,905,1992,207,956,1243,557,1642,393,1806,13,2007,1,99,0.827,13,14426,13,1,2196,0.72,NA,13,156900,GEORGIA INSTITUTE OF TECHNOLOGY,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,No
335,139773,2010,156700,1567,13,3,2007,0.630854,0.510288,0.652632,0.747475,0.672655,0.537778,0.532258,0.704327,0.645,0.613497,0.60424,0.647856,726,243,285,198,501,225,310,416,400,326,283,443,13,2005,1,99,0.136,13,6945,13,1,1567,0.76,NA,13,156700,GAINESVILLE STATE COLLEGE,1,2151,3712,2271,6871053,6573972,2151,3712,2271,6871053,6573972,0,0,,No
337,139861,2010,160200,1602,13,3,2007,0.753363,0.63038,0.808,0.801354,0.78471,0.575,0.687117,0.816327,0.747239,0.762906,0.708423,0.777143,1338,395,500,443,1138,200,652,686,815,523,463,875,13,2005,1,99,0.552,13,5538,13,1,1132,0.94,NA,13,160200,GEORGIA COLLEGE & STATE UNIVERSITY,1,1933,3736,2223,7896036,7628662,1933,3736,2223,7896036,7628662,0,0,,No
