"","unitid","year","opeid.x","opeid6","fips.x.x","years_since_entering_repay","cohort_year.x","repay_rate","repay_rate_lowincome","repay_rate_midincome","repay_rate_highincome","repay_rate_dependent","repay_rate_independent","repay_rate_pell","repay_rate_nopell","repay_rate_female","repay_rate_male","repay_rate_firstgen","repay_rate_notfirstgen","repay_count","repay_count_lowincome","repay_count_midincome","repay_count_highincome","repay_count_dependent","repay_count_independent","repay_count_pell","repay_count_nopell","repay_count_female","repay_count_male","repay_count_firstgen","repay_count_notfirstgen","fips.y.x","cohort_year.y","race","sex","completion_rate_150pct","fips.x.y","est_fte","fips.y.y","type_of_aid","number_of_students","percent_of_students","average_amount","fips","opeid.y","inst_name_fsa","loan_type","loan_recipients_unitid","num_loans_disbursed_unitid","num_loans_originated_unitid","value_loans_originated_unitid","value_loan_disbursements_unitid","loan_recipients_opeid","num_loans_disbursed_opeid","num_loans_originated_opeid","value_loans_originated_opeid","value_loan_disbursements_opeid","allocation_flag","combined_flag","other_assoc_opeids","hbcu"
"21",100724,2012,"100500",1005,1,5,2007,0.324123,0.302441,0.371257,0.405405,0.324947,0.320084,0.314899,0.38,0.338939,0.306186,0.311962,0.334197,2823,2007,668,148,2345,478,2423,400,1546,1277,1279,1544,1,2007,1,99,0.083,1,5025,1,1,1335,0.93,NA,1,"00100500","ALABAMA STATE UNIVERSITY",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"","Yes"
"23",100751,2010,"00105100",1051,1,3,2007,0.656691,0.552671,0.684299,0.771368,0.687257,0.521807,0.5825,0.757288,0.655954,0.657578,0.620601,0.674892,3475,1348,1191,936,2833,642,2000,1475,1898,1577,1165,2310,1,2005,1,99,0.667,1,23883,1,1,4190,0.76,NA,1,"00105100","UNIVERSITY OF ALABAMA",1,8720,16307,9920,34688456,34508928,8720,16307,9920,34688456,34508930,0,0,"","No"
"25",100751,2012,"105100",1051,1,5,2007,0.687598,0.582938,0.715694,0.800384,0.71908,0.54866,0.618457,0.778313,0.685457,0.690214,0.664848,0.699022,3838,1477,1319,1042,3129,709,2178,1660,2111,1727,1283,2555,1,2007,1,99,0.674,1,27148,1,1,4738,0.75,NA,1,"00105100","UNIVERSITY OF ALABAMA",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"","No"
"27",100760,2010,"00100700",1007,1,3,2007,0.409814,0.342912,0.543478,0.625,0.512915,0.351967,0.354167,0.589888,0.396552,0.454023,0.40249,0.422794,754,522,184,48,271,483,576,178,580,174,482,272,1,2008,1,99,0.247,1,2095,1,1,552,0.93,NA,1,"00100700","CENTRAL ALABAMA COMMUNITY COLLEGE",1,908,1942,1012,3184659,3057513,908,1942,1012,3184659,3057513,0,0,"","No"
"28",100760,2012,"100700",1007,1,5,2007,0.435631,0.365854,0.57672,0.659574,0.518382,0.390342,0.385274,0.594595,0.430976,0.451429,0.427711,0.450185,769,533,189,47,272,497,584,185,594,175,498,271,1,2010,1,99,0.113,1,1489,1,1,452,0.51,NA,1,"00100700","CENTRAL ALABAMA COMMUNITY COLLEGE",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"","No"
"29",100830,2010,"00831000",8310,1,3,2007,0.529625,0.447368,0.630832,0.710983,0.544732,0.506173,0.468895,0.642981,0.521164,0.548077,0.518732,0.5375,1654,988,493,173,1006,648,1077,577,1134,520,694,960,1,2005,1,99,0.413,1,4073,1,1,479,0.63,NA,1,"00831000","AUBURN UNIVERSITY MONTGOMERY",1,2726,5628,3077,9612241,9609390,2726,5628,3077,9612241,9609390,0,0,"","No"
"31",100830,2012,"831000",8310,1,5,2007,0.54738,0.465993,0.640684,0.766667,0.573407,0.507736,0.48692,0.665025,0.531727,0.582878,0.530997,0.558935,1794,1088,526,180,1083,711,1185,609,1245,549,742,1052,1,2007,1,99,0.302,1,3571,1,1,534,0.9,NA,1,"00831000","AUBURN UNIVERSITY MONTGOMERY",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"","No"
"33",100858,2010,"00100900",1009,1,3,2007,0.790281,0.682218,0.802172,0.865777,0.796258,0.742389,0.703827,0.866504,0.786903,0.793451,0.745816,0.804979,3848,1136,1289,1423,3421,427,1803,2045,1863,1985,956,2892,1,2005,1,99,0.697,1,19659,1,1,3247,0.78,NA,1,"00100900","AUBURN UNIVERSITY",1,6114,11449,6733,25403914,25390550,6114,11449,6733,25403914,25390550,0,0,"","No"
"35",100858,2012,"100900",1009,1,5,2007,0.811785,0.712766,0.828967,0.876241,0.818857,0.75693,0.733676,0.882054,0.81134,0.812204,0.781587,0.821776,4107,1222,1374,1511,3638,469,1945,2162,1993,2114,1021,3086,1,2007,1,99,0.711,1,19635,1,1,2881,0.76,NA,1,"00100900","AUBURN UNIVERSITY",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"","No"
"37",100937,2010,"00101200",1012,1,3,2007,0.744493,0.612245,0.759494,0.79798,-3,-3,0.651685,0.804348,0.693333,0.844156,-3,-3,227,49,79,99,217,10,89,138,150,77,45,182,1,2005,1,99,0.637,1,1832,1,1,369,1,NA,1,"00101200","BIRMINGHAM SOUTHERN COLLEGE",1,536,1030,547,2273640,2269678,536,1030,547,2273640,2269678,0,0,"","No"
"39",100937,2012,"101200",1012,1,5,2007,0.797619,0.648148,0.790123,0.871795,-3,-3,0.705263,0.853503,0.75625,0.869565,-3,-3,252,54,81,117,240,12,95,157,160,92,53,199,1,2007,1,99,0.644,1,1331,1,1,319,0.98,NA,1,"00101200","BIRMINGHAM-SOUTHERN COLLEGE",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"","No"
"41",101028,2012,"1218200",12182,1,5,2007,0.351297,0.283465,-3,-3,0.385057,0.333333,0.300733,0.576087,0.319767,0.420382,0.339552,0.364807,501,381,105,15,174,327,409,92,344,157,268,233,1,2010,1,99,0.204,1,1431,1,1,341,0.94,NA,1,"01218200","CHATTAHOOCHEE VALLEY COMMUNITY COLLEGE",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"","No"
"42",101143,2010,"00101500",1015,1,3,2007,0.559172,0.454545,-3,-3,0.625668,0.476821,0.469767,0.715447,0.478528,0.634286,0.496933,0.617143,338,187,124,27,187,151,215,123,163,175,163,175,1,2008,1,99,0.468,1,2779,1,1,452,0.87,NA,1,"00101500","ENTERPRISE STATE COMMUNITY COLLEGE",1,656,1302,724,2030586,1935638,656,1302,724,2030586,1935638,0,0,"","No"
"43",101143,2012,"101500",1015,1,5,2007,0.60452,0.494898,-3,-3,0.665,0.525974,0.528384,0.744,0.529762,0.672043,0.552941,0.652174,354,196,130,28,200,154,229,125,168,186,170,184,1,2010,1,99,0.134,1,2101,1,1,266,0.91,NA,1,"00101500","ENTERPRISE STATE COMMUNITY COLLEGE",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"","No"
"44",101161,2010,"00106000",1060,1,3,2007,0.475238,0.361868,0.555831,0.669173,0.480061,0.467337,0.38872,0.619289,0.468208,0.488827,0.455268,0.493601,1050,514,403,133,652,398,656,394,692,358,503,547,1,2008,1,99,0.14,1,4032,1,1,892,0.86,NA,1,"00106000","JAMES H. FAULKNER STATE COMMUNITY COLLEGE",1,1371,2472,1487,3781831,3425693,1371,2472,1487,3781831,3425693,0,0,"","No"
"45",101161,2012,"106000",1060,1,5,2007,0.498188,0.391144,0.582547,0.65942,0.513196,0.473934,0.417391,0.63285,0.483696,0.527174,0.475564,0.519231,1104,542,424,138,682,422,690,414,736,368,532,572,1,2010,1,99,0.093,1,3703,1,1,854,0.88,NA,1,"00106000","JAMES H. FAULKNER STATE COMMUNITY COLLEGE",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"","No"
"46",101189,2010,"00100300",1003,1,3,2007,0.464219,0.355304,0.6,0.728477,0.593148,0.411404,0.384071,0.654088,0.429224,0.539063,0.455791,0.472637,1607,971,485,151,467,1140,1130,477,1095,512,803,804,1,2005,1,99,0.341,1,2837,1,1,210,1,NA,1,"00100300","FAULKNER UNIVERSITY",1,2097,5880,3600,9746420,9672485,2097,5880,3600,9746420,9672485,0,0,"","No"
"48",101189,2012,"100300",1003,1,5,2007,0.501176,0.396518,0.623274,0.792453,0.636179,0.446192,0.432749,0.664016,0.463918,0.58209,0.49409,0.508197,1700,1034,507,159,492,1208,1197,503,1164,536,846,854,1,2007,1,99,0.249,1,2658,1,1,320,0.99,NA,1,"00100300","FAULKNER UNIVERSITY",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"","No"
"50",101295,2010,"00787100",7871,1,3,2007,0.523376,0.439591,0.657676,0.808989,0.628849,0.460194,0.434959,0.784173,0.519492,0.533191,0.510703,0.542042,1647,1076,482,89,617,1030,1230,417,1180,467,981,666,1,2008,1,99,0.21,1,5624,1,1,933,0.86,NA,1,"00787100","GEORGE C. WALLACE STATE COMMUNITY COLLEGE",1,2794,5417,3094,9237209,8825398,2794,5417,3094,9237209,8825398,0,0,"","No"
"51",101295,2012,"787100",7871,1,5,2007,0.523726,0.440433,0.651485,0.819149,0.633694,0.456604,0.442097,0.7669,0.518428,0.537037,0.496094,0.565154,1707,1108,505,94,647,1060,1278,429,1221,486,1024,683,1,2010,1,99,0.204,1,4486,1,1,779,0.82,NA,1,"00787100","GEORGE C. WALLACE STATE COMMUNITY COLLEGE",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"","No"
